ASIN,Price,Operating System,Processor_Cleaned,GPU_Model,Graphics_Size,Model,G3d_mark,G2d_mark,GPU_Tdp,Category,Screen_Size_Inch,Battery_Value,Weight_KG,Memory Technology,Cores,Cpu_mark,Thread_mark,CPU_Tdp,Socket,Storage,Memory,Brand,Memory_speed
B0BQJ68HHC,35990.0,"Windows 11 Home Single Language, English",Intel Core i3-1215U,,,,,,,,15.6,41.0,1.66,DDR4,6,10981,3328,15.0,FCBGA1744,512,8,Dell,2666
B0C4ZK48JB,72990.0,"Windows 11 Home Single Language, English",Intel Core i5-1335U,,,,,,,,16.0,54.0,1.9,LPDDR5,10,15994,3523,15.0,FCBGA1744,512,16,Dell,4800
B0CCSPWCQY,39199.0,"Windows 11 Home Single Language, English",Intel Core i3-1115G4,,,,,,,,15.6,41.0,1.66,DDR4,2,6081,2637,15.0,FCBGA1449,512,8,Dell,3200
B0CBKVMK4R,323890.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4080,12GB,GeForce RTX 4080,34614.0,1240.0,320.0,Desktop,16.0,86.0,3.25,DDR5,24,44594,4148,55.0,FCBGA1964,1024,32,Dell,4800
B0CYLX8XXJ,165990.0,"Windows 11 Home Single Language, English",Intel Core Ultra 9 185H,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,90.0,2.61,DDR5,16,28637,3714,45.0,FCBGA2049,1024,16,Dell,5600
B0C917XSCR,303390.0,"Windows 11 Home Single Language, English",AMD Ryzen 9 7845HX,RTX 4080,12GB,GeForce RTX 4080,34614.0,1240.0,320.0,Desktop,16.0,86.0,3.3,DDR5,12,45731,3979,55.0,FL1,2048,32,Dell,4800
B0CBKXXQWP,211990.0,"Windows 11 Home Single Language, English",Intel Core i7-13700HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,86.0,3.25,DDR5,16,33968,3879,55.0,FCBGA1964,1024,16,Dell,4800
B0CYLYCZJZ,214190.0,"Windows 11 Home Single Language, English",Intel Core Ultra 7 155H,RTX 4050,6GB,GeForce RTX 4050 Laptop GPU,14471.0,627.0,115.0,Mobile,16.0,90.0,2.61,DDR5,16,24956,3548,28.0,Unknown,1024,16,Dell,5600
B0CBKVMK4R,323890.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4080,12GB,GeForce RTX 4080,34614.0,1240.0,320.0,Desktop,16.0,86.0,3.25,DDR5,24,44594,4148,55.0,FCBGA1964,1024,32,Dell,4800
B0CYLXD4K5,214190.0,"Windows 11 Home Single Language, English",Intel Core Ultra 9 185H,RTX 4070,8GB,GeForce RTX 4070,27005.0,1119.0,200.0,Desktop,16.0,90.0,2.61,DDR5,16,28637,3714,45.0,FCBGA2049,1024,32,Dell,5600
B0CYLZYVFN,192090.0,"Windows 11 Home Single Language, English",Intel Core Ultra 9 185H,RTX 4070,8GB,GeForce RTX 4070,27005.0,1119.0,200.0,Desktop,16.0,90.0,2.61,DDR5,16,28637,3714,45.0,FCBGA2049,1024,16,Dell,5600
B0BGJ7YCTF,122950.0,"Windows 11 Home Single Language, English",Intel Core i7-1250U,,,,,,,,13.4,51.0,1.17,LPDDR5,10,11988,2822,9.0,FCBGA1781,512,16,Dell,5200
B0CBKWQ4YB,257390.0,"Windows 11 Home Single Language, English",Intel Core i7-13700H,RTX 4050,6GB,GeForce RTX 4050 Laptop GPU,14471.0,627.0,115.0,Mobile,15.6,86.0,1.86,DDR5,14,27408,3656,45.0,FCBGA1744,1024,16,Dell,4800
